Sample.Name,Notes,Column,uLonColumn,Fraction,Sample.Group,Treatment.Group,Bio.Normalization
180920_Blk_Blk_1,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Blk_Blk_2,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Std_H2OinMatrix_1,,C18_CoAs,2,CoA_Aq,H2OinMatrix,1,1
180920_Std_4uMStdMix4InH2O_1,,C18_CoAs,2,CoA_Aq,4uMStdMix4InH2O,1,1
180920_Std_4uMStdMix4InMatrix_1,,C18_CoAs,2,CoA_Aq,4uMStdMix4InMatrix,1,1
180920_Blk_Blk_3,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Blk_Blk_4,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Poo_MesoScopeQC_1,,C18_CoAs,8,CoA_Aq,MesoScopeQC,1,1
180920_Poo_Day1and2Poo_Half1,,C18_CoAs,8,CoA_Aq,Day1and2Poo,1,0.5
180920_Poo_Day1and2Poo_Full1,,C18_CoAs,8,CoA_Aq,Day1and2Poo,1,1
180920_Blk_Blk_5,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS4C115m_A,,C18_CoAs,8,CoA_Aq,MS4C115m,1,1
180920_Smp_MS5C1DCM_B,,C18_CoAs,8,CoA_Aq,MS5C1DCM,1,1
180920_Blk_Blk_7,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS6C3175m_C,,C18_CoAs,8,CoA_Aq,MS6C3175m,1,1
180920_Smp_MS7C115m_B,,C18_CoAs,8,CoA_Aq,MS7C115m,1,1
180920_Blk_Blk_8,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS8C1DCM_C,,C18_CoAs,8,CoA_Aq,MS8C1DCM,1,1
180920_Smp_MS9C2175m_C,,C18_CoAs,8,CoA_Aq,MS9C2175m,1,1
180920_Blk_Blk_9,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS10C215m_A,,C18_CoAs,8,CoA_Aq,MS10C215m,1,1
180920_Smp_MS11C2DCM_B,,C18_CoAs,8,CoA_Aq,MS11C2DCM,1,1
180920_Blk_Blk_10,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS12C1175m_A,,C18_CoAs,8,CoA_Aq,MS12C1175m,1,1
180920_Smp_MS13C315m_B,,C18_CoAs,8,CoA_Aq,MS13C315m,1,1
180920_Blk_Blk_11,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS14C2DCM_A,,C18_CoAs,8,CoA_Aq,MS14C2DCM,1,1
180920_Smp_MS4C1DCM_B,,C18_CoAs,8,CoA_Aq,MS4C1DCM,1,1
180920_Blk_Blk_12,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Poo_Day1and2Poo_Half2,,C18_CoAs,8,CoA_Aq,Day1and2Poo,1,0.5
180920_Smp_MS5C115m_B,,C18_CoAs,8,CoA_Aq,MS5C115m,1,1
180920_Smp_MS6C3DCM_B,,C18_CoAs,8,CoA_Aq,MS6C3DCM,1,1
180920_Blk_Blk_13,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS7C1175m_B,,C18_CoAs,8,CoA_Aq,MS7C1175m,1,1
180920_Smp_MS8C115m_B,,C18_CoAs,8,CoA_Aq,MS8C115m,1,1
180920_Blk_Blk_14,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Poo_MesoScopeQC_2,,C18_CoAs,8,CoA_Aq,MesoScopeQC,1,1
180920_Poo_Day1and2Poo_Full2,,C18_CoAs,8,CoA_Aq,Day1and2Poo,1,1
180920_Blk_Blk_15,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS9C2DCM_B,,C18_CoAs,8,CoA_Aq,MS9C2DCM,1,1
180920_Smp_MS10C2175m_C,,C18_CoAs,8,CoA_Aq,MS10C2175m,1,1
180920_Blk_MQBlk_1,,C18_CoAs,8,CoA_Aq,MQBlk,1,1
180920_Smp_MS11C215m_B,,C18_CoAs,8,CoA_Aq,MS11C215m,1,1
180920_Smp_MS12C1DCM_A,,C18_CoAs,8,CoA_Aq,MS12C1DCM,1,1
180920_Blk_Blk_16,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS13C2175m_A,,C18_CoAs,8,CoA_Aq,MS13C2175m,1,1
180920_Smp_MS14C2175m_C,,C18_CoAs,8,CoA_Aq,MS14C2175m,1,1
180920_Blk_Blk_17,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS4C1175m_A,,C18_CoAs,8,CoA_Aq,MS4C1175m,1,1
180920_Smp_MS5C1175m_A,,C18_CoAs,8,CoA_Aq,MS5C1175m,1,1
180920_Blk_SWBlk_1,,C18_CoAs,8,CoA_Aq,SWBlk,1,1
180920_Blk_Blk_18,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS13C2175m_B,,C18_CoAs,8,CoA_Aq,MS13C2175m,1,1
180920_Smp_MS9C215m_C,,C18_CoAs,8,CoA_Aq,MS9C215m,1,1
180920_Blk_Blk_19,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS11C2175m_B,,C18_CoAs,8,CoA_Aq,MS11C2175m,1,1
180920_Smp_MS6C3DCM_A,,C18_CoAs,8,CoA_Aq,MS6C3DCM,1,1
180920_Blk_Blk_20,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS7C1175m_C,,C18_CoAs,8,CoA_Aq,MS7C1175m,1,1
180920_Smp_MS4C1DCM_A,,C18_CoAs,8,CoA_Aq,MS4C1DCM,1,1
180920_Blk_Blk_21,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS9C2175m_B,,C18_CoAs,8,CoA_Aq,MS9C2175m,1,1
180920_Smp_MS4C1175m_B,,C18_CoAs,8,CoA_Aq,MS4C1175m,1,1
180920_Blk_Blk_22,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS11C215m_A,,C18_CoAs,8,CoA_Aq,MS11C215m,1,1
180920_Smp_MS11C215m_C,,C18_CoAs,8,CoA_Aq,MS11C215m,1,1
180920_Blk_Blk_23,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS13C2DCM_A,,C18_CoAs,8,CoA_Aq,MS13C2DCM,1,1
180920_Smp_MS6C315m_A,,C18_CoAs,8,CoA_Aq,MS6C315m,1,1
180920_Blk_Blk_24,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Poo_MesoScopeQC_3,,C18_CoAs,8,CoA_Aq,MesoScopeQC,1,1
180920_Poo_Day1and2Poo_Half3,,C18_CoAs,8,CoA_Aq,Day1and2Poo,1,0.5
180920_Poo_Day1and2Poo_Full3,,C18_CoAs,8,CoA_Aq,Day1and2Poo,1,1
180920_Blk_Blk_25,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Poo_Day1Poo_DDAneg20,,C18_CoAs,8,CoA_Aq,Day1Poo,1,1
180920_Smp_MS7C1DCM_B,,C18_CoAs,8,CoA_Aq,MS7C1DCM,1,1
180920_Smp_MS7C1175m_A,,C18_CoAs,8,CoA_Aq,MS7C1175m,1,1
180920_Blk_MQBlk_2,,C18_CoAs,8,CoA_Aq,MQBlk,1,1
180920_Smp_MS13C2175m_C,,C18_CoAs,8,CoA_Aq,MS13C2175m,1,1
180920_Smp_MS5C115m_C,,C18_CoAs,8,CoA_Aq,MS5C115m,1,1
180920_Blk_Blk_27,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS13C2DCM_B,,C18_CoAs,8,CoA_Aq,MS13C2DCM,1,1
180920_Smp_MS5C1175m_B,,C18_CoAs,8,CoA_Aq,MS5C1175m,1,1
180920_Blk_Blk_28,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS6C315m_C,,C18_CoAs,8,CoA_Aq,MS6C315m,1,1
180920_Smp_MS11C2175m_C,,C18_CoAs,8,CoA_Aq,MS11C2175m,1,1
180920_Blk_Blk_29,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS14C2DCM_C,,C18_CoAs,8,CoA_Aq,MS14C2DCM,1,1
180920_Smp_MS8C115m_A,,C18_CoAs,8,CoA_Aq,MS8C115m,1,1
180920_Blk_Blk_30,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS7C115m_C,,C18_CoAs,8,CoA_Aq,MS7C115m,1,1
180920_Smp_MS14C215m_B,,C18_CoAs,8,CoA_Aq,MS14C215m,1,1
180920_Blk_Blk_31,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Blk_SWBlk_2,,C18_CoAs,8,CoA_Aq,SWBlk,1,1
180920_Poo_MesoScopeQC_4,,C18_CoAs,8,CoA_Aq,MesoScopeQC,1,1
180920_Blk_Blk_32,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS6C315m_B,,C18_CoAs,8,CoA_Aq,MS6C315m,1,1
180920_Smp_MS9C215m_A,,C18_CoAs,8,CoA_Aq,MS9C215m,1,1
180920_Blk_Blk_33,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS14C2175m_A,,C18_CoAs,8,CoA_Aq,MS14C2175m,1,1
180920_Smp_MS7C1DCM_A,,C18_CoAs,8,CoA_Aq,MS7C1DCM,1,1
180920_Blk_Blk_34,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS14C215m_C,,C18_CoAs,8,CoA_Aq,MS14C215m,1,1
180920_Smp_MS7C115m_A,,C18_CoAs,8,CoA_Aq,MS7C115m,1,1
180920_Blk_Blk_35,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS13C2DCM_C,,C18_CoAs,8,CoA_Aq,MS13C2DCM,1,1
180920_Smp_MS4C1DCM_C,,C18_CoAs,8,CoA_Aq,MS4C1DCM,1,1
180920_Blk_Blk_36,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS10C215m_C,,C18_CoAs,8,CoA_Aq,MS10C215m,1,1
180920_Smp_MS12C1175m_C,,C18_CoAs,8,CoA_Aq,MS12C1175m,1,1
180920_Blk_Blk_37,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Poo_Day1and2Poo_Full4,,C18_CoAs,8,CoA_Aq,Day1and2Poo,1,1
180920_Poo_Day1and2Poo_Half4,,C18_CoAs,8,CoA_Aq,Day1and2Poo,1,0.5
180920_Blk_Blk_38,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Poo_Day1Poo_DDAneg35,,C18_CoAs,8,CoA_Aq,Day1Poo,1,1
180920_Smp_MS11C2175m_A,,C18_CoAs,8,CoA_Aq,MS11C2175m,1,1
180920_Smp_MS5C1DCM_A,,C18_CoAs,8,CoA_Aq,MS5C1DCM,1,1
180920_Blk_Blk_40,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS6C3DCM_C,,C18_CoAs,8,CoA_Aq,MS6C3DCM,1,1
180920_Smp_MS12C115m_C,,C18_CoAs,8,CoA_Aq,MS12C115m,1,1
180920_Blk_Blk_41,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS4C1175m_C,,C18_CoAs,8,CoA_Aq,MS4C1175m,1,1
180920_Smp_MS13C315m_A,,C18_CoAs,8,CoA_Aq,MS13C315m,1,1
180920_Blk_Blk_42,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS13C315m_C,,C18_CoAs,8,CoA_Aq,MS13C315m,1,1
180920_Smp_MS7C1DCM_C,,C18_CoAs,8,CoA_Aq,MS7C1DCM,1,1
180920_Blk_Blk_43,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS5C115m_A,,C18_CoAs,8,CoA_Aq,MS5C115m,1,1
180920_Smp_MS12C1DCM_C,,C18_CoAs,8,CoA_Aq,MS12C1DCM,1,1
180920_Blk_Blk_44,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS11C2DCM_A,,C18_CoAs,8,CoA_Aq,MS11C2DCM,1,1
180920_Smp_MS12C1DCM_B,,C18_CoAs,8,CoA_Aq,MS12C1DCM,1,1
180920_Blk_Blk_45,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Blk_MQBlk_3,,C18_CoAs,8,CoA_Aq,MQBlk,1,1
180920_Blk_SWBlk_3,,C18_CoAs,8,CoA_Aq,SWBlk,1,1
180920_Poo_Day1Poo_DDAneg50,,C18_CoAs,8,CoA_Aq,Day1Poo,1,1
180920_Smp_MS11C2DCM_C,,C18_CoAs,8,CoA_Aq,MS11C2DCM,1,1
180920_Smp_MS8C1175m_B,,C18_CoAs,8,CoA_Aq,MS8C1175m,1,1
180920_Blk_Blk_47,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS12C115m_A,,C18_CoAs,8,CoA_Aq,MS12C115m,1,1
180920_Smp_MS10C2175m_B,,C18_CoAs,8,CoA_Aq,MS10C2175m,1,1
180920_Blk_Blk_48,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS10C2DCM_A,,C18_CoAs,8,CoA_Aq,MS10C2DCM,1,1
180920_Smp_MS14C2175m_B,,C18_CoAs,8,CoA_Aq,MS14C2175m,1,1
180920_Blk_Blk_49,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS10C2DCM_C,,C18_CoAs,8,CoA_Aq,MS10C2DCM,1,1
180920_Smp_MS6C3175m_B,,C18_CoAs,8,CoA_Aq,MS6C3175m,1,1
180920_Blk_Blk_50,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS4C115m_B,,C18_CoAs,8,CoA_Aq,MS4C115m,1,1
180920_Smp_MS12C1175m_B,,C18_CoAs,8,CoA_Aq,MS12C1175m,1,1
180920_Blk_Blk_51,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Poo_Day1and2Poo_Half5,,C18_CoAs,8,CoA_Aq,Day1and2Poo,1,0.5
180920_Poo_Day1and2Poo_Full5,,C18_CoAs,8,CoA_Aq,Day1and2Poo,1,1
180920_Poo_MesoScopeQC_5,,C18_CoAs,8,CoA_Aq,MesoScopeQC,1,1
180920_Blk_Blk_52,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS12C115m_B,,C18_CoAs,8,CoA_Aq,MS12C115m,1,1
180920_Smp_MS8C1175m_A,,C18_CoAs,8,CoA_Aq,MS8C1175m,1,1
180920_Blk_Blk_53,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS8C1175m_C,,C18_CoAs,8,CoA_Aq,MS8C1175m,1,1
180920_Smp_MS14C2DCM_B,,C18_CoAs,8,CoA_Aq,MS14C2DCM,1,1
180920_Blk_Blk_54,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS5C1DCM_C,,C18_CoAs,8,CoA_Aq,MS5C1DCM,1,1
180920_Smp_MS8C1DCM_B,,C18_CoAs,8,CoA_Aq,MS8C1DCM,1,1
180920_Blk_Blk_55,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS9C2DCM_C,,C18_CoAs,8,CoA_Aq,MS9C2DCM,1,1
180920_Smp_MS9C2DCM_A,,C18_CoAs,8,CoA_Aq,MS9C2DCM,1,1
180920_Blk_Blk_56,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS8C115m_C,,C18_CoAs,8,CoA_Aq,MS8C115m,1,1
180920_Smp_MS9C2175m_A,,C18_CoAs,8,CoA_Aq,MS9C2175m,1,1
180920_Blk_Blk_57,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS14C215m_A,,C18_CoAs,8,CoA_Aq,MS14C215m,1,1
180920_Smp_MS10C215m_B,,C18_CoAs,8,CoA_Aq,MS10C215m,1,1
180920_Blk_Blk_58,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS10C2175m_A,,C18_CoAs,8,CoA_Aq,MS10C2175m,1,1
180920_Blk_FilterBlank_1,,C18_CoAs,8,CoA_Aq,FilterBlank,1,1
180920_Smp_MS10C2DCM_B,,C18_CoAs,8,CoA_Aq,MS10C2DCM,1,1
180920_Blk_Blk_59,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS4C115m_C,,C18_CoAs,8,CoA_Aq,MS4C115m,1,1
180920_Smp_MS6C3175m_A,,C18_CoAs,8,CoA_Aq,MS6C3175m,1,1
180920_Blk_Blk_60,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS5C1175m_C,,C18_CoAs,8,CoA_Aq,MS5C1175m,1,1
180920_Smp_MS9C215m_B,,C18_CoAs,8,CoA_Aq,MS9C215m,1,1
180920_Blk_Blk_61,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS8C1DCM_A,,C18_CoAs,8,CoA_Aq,MS8C1DCM,1,1
180920_Std_H2OinMatrix_2,,C18_CoAs,2,CoA_Aq,H2OinMatrix,1,1
180920_Std_4uMStdMix4InH2O_2,,C18_CoAs,2,CoA_Aq,4uMStdMix4InH2O,1,1
180920_Std_4uMStdMix4InMatrix_2,,C18_CoAs,2,CoA_Aq,4uMStdMix4InMatrix,1,1
180920_Blk_Blk_62,,C18_CoAs,8,CoA_Aq,Blk,1,1
