"Replicate.Name","Metabolite.name","Area.with.QC","umol.in.vial_IS","Conc..uM","RF","RF.max","RF.min","RF.ave","RF.diff","umol.in.vial.ave","umol.in.vial.max","umol.in.vial.min","nmol.in.Enviro","Emperical.Formula","C","N","nmol.C.ave","nmol.N.ave"
"180920_Std_H2OinMatrix","Acetyl CoA",NA,NA,4,NA,6276128,4470937,5373532.5,1.40376122499601,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Std_4uMStdMix4InMatrix","Acetyl CoA",17331960,NA,4,4332990,6276128,4470937,5373532.5,1.40376122499601,4.66102791247625,5.60199908231726,3.99070652655559,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Std_4uMStdMix4InMatrix","Acetyl CoA",16943274,NA,4,4235818.5,6276128,4470937,5373532.5,1.40376122499601,4.55649984437612,5.47636882380584,3.90121106516629,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Std_4uMStdMix4InH2O","Acetyl CoA",17883748,NA,4,4470937,6276128,4470937,5373532.5,1.40376122499601,4.80941847359971,5.78034682080925,4.1177564374067,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Std_4uMStdMix4InH2O","Acetyl CoA",25104512,NA,4,6276128,6276128,4470937,5373532.5,1.40376122499601,6.75127516801879,8.114226734081,5.78034682080925,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS9C2DCM_C","Acetyl CoA",21978,0.0221604469598202,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00177283575678562,"C23H38N7O17P3S",23,7,0.0407752224060692,0.0124098502974993
"180920_Smp_MS9C2DCM_B","Acetyl CoA",3315,0.014613212724736,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00116905701797888,"C23H38N7O17P3S",23,7,0.0268883114135142,0.00818339912585216
"180920_Smp_MS9C2DCM_A","Acetyl CoA",16366,0.0178421137551948,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00142736910041558,"C23H38N7O17P3S",23,7,0.0328294893095584,0.00999158370290907
"180920_Smp_MS9C2175m_C","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS9C2175m_B","Acetyl CoA",6569,0.00754514784337587,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00060361182747007,"C23H38N7O17P3S",23,7,0.0138830720318116,0.00422528279229049
"180920_Smp_MS9C2175m_A","Acetyl CoA",4486,0.00599726607019315,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000479781285615452,"C23H38N7O17P3S",23,7,0.0110349695691554,0.00335846899930816
"180920_Smp_MS9C215m_C","Acetyl CoA",22997,0.0298120687218936,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00238496549775149,"C23H38N7O17P3S",23,7,0.0548542064482842,0.0166947584842604
"180920_Smp_MS9C215m_B","Acetyl CoA",29576,0.0346344273890213,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00277075419112171,"C23H38N7O17P3S",23,7,0.0637273463957993,0.019395279337852
"180920_Smp_MS9C215m_A","Acetyl CoA",23755,0.0275359072345366,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00220287257876292,"C23H38N7O17P3S",23,7,0.0506660693115473,0.0154201080513405
"180920_Smp_MS8C1DCM_C","Acetyl CoA",7805,0.0132758528310905,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00106206822648724,"C23H38N7O17P3S",23,7,0.0244275692092065,0.00743447758541068
"180920_Smp_MS8C1DCM_B","Acetyl CoA",16890,0.0144218576957987,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011537486156639,"C23H38N7O17P3S",23,7,0.0265362181602696,0.00807624030964727
"180920_Smp_MS8C1DCM_A","Acetyl CoA",13326,0.0189386618157012,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0015150929452561,"C23H38N7O17P3S",23,7,0.0348471377408902,0.0106056506167927
"180920_Smp_MS8C1175m_C","Acetyl CoA",5271,0.00551360265188493,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000441088212150794,"C23H38N7O17P3S",23,7,0.0101450288794683,0.00308761748505556
"180920_Smp_MS8C1175m_B","Acetyl CoA",4819,0.00308436233416912,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00024674898673353,"C23H38N7O17P3S",23,7,0.00567522669487118,0.00172724290713471
"180920_Smp_MS8C1175m_A","Acetyl CoA",2999,0.00365657683932277,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000292526147145822,"C23H38N7O17P3S",23,7,0.0067281013843539,0.00204768303002075
"180920_Smp_MS8C115m_C","Acetyl CoA",21322,0.0276870257158736,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00221496205726989,"C23H38N7O17P3S",23,7,0.0509441273172075,0.0155047344008892
"180920_Smp_MS8C115m_B","Acetyl CoA",1394,0.00692846385916431,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000554277108733145,"C23H38N7O17P3S",23,7,0.0127483735008623,0.00387993976113201
"180920_Smp_MS8C115m_A","Acetyl CoA",15046,0.0189291255469912,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00151433004375929,"C23H38N7O17P3S",23,7,0.0348295910064637,0.010600310306315
"180920_Smp_MS7C1DCM_C","Acetyl CoA",19298,0.0255079061224989,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00204063248979991,"C23H38N7O17P3S",23,7,0.0469345472653979,0.0142844274285994
"180920_Smp_MS7C1DCM_B","Acetyl CoA",16003,0.0178796178724674,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00143036942979739,"C23H38N7O17P3S",23,7,0.0328984968853399,0.0100125860085817
"180920_Smp_MS7C1DCM_A","Acetyl CoA",3344,0.013043736890196,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00104349895121568,"C23H38N7O17P3S",23,7,0.0240004758779607,0.00730449265850978
"180920_Smp_MS7C1175m_C","Acetyl CoA",3918,0.00445887109646064,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000356709687716851,"C23H38N7O17P3S",23,7,0.00820432281748758,0.00249696781401796
"180920_Smp_MS7C1175m_B","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS7C1175m_A","Acetyl CoA",4809,0.00573429091659224,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000458743273327379,"C23H38N7O17P3S",23,7,0.0105510952865297,0.00321120291329166
"180920_Smp_MS7C115m_C","Acetyl CoA",18871,0.0240388014356276,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00192310411485021,"C23H38N7O17P3S",23,7,0.0442313946415549,0.0134617288039515
"180920_Smp_MS7C115m_B","Acetyl CoA",9015,0.0134873923177968,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00107899138542374,"C23H38N7O17P3S",23,7,0.0248168018647461,0.00755293969796619
"180920_Smp_MS7C115m_A","Acetyl CoA",18471,0.0228364429869365,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00182691543895492,"C23H38N7O17P3S",23,7,0.0420190550959632,0.0127884080726844
"180920_Smp_MS6C3DCM_C","Acetyl CoA",17937,0.0215180371164247,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00172144296931397,"C23H38N7O17P3S",23,7,0.0395931882942214,0.0120501007851978
"180920_Smp_MS6C3DCM_B","Acetyl CoA",2177,0.00703007561287114,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000562406049029691,"C23H38N7O17P3S",23,7,0.0129353391276829,0.00393684234320784
"180920_Smp_MS6C3DCM_A","Acetyl CoA",10859,0.0148106372263369,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00118485097810695,"C23H38N7O17P3S",23,7,0.0272515724964598,0.00829395684674864
"180920_Smp_MS6C3175m_C","Acetyl CoA",2872,0.00461224686441086,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000368979749152869,"C23H38N7O17P3S",23,7,0.00848653423051599,0.00258285824407008
"180920_Smp_MS6C3175m_B","Acetyl CoA",5404,0.00756360094027149,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000605088075221719,"C23H38N7O17P3S",23,7,0.0139170257300995,0.00423561652655203
"180920_Smp_MS6C3175m_A","Acetyl CoA",4595,0.00674437992802081,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000539550394241664,"C23H38N7O17P3S",23,7,0.0124096590675583,0.00377685275969165
"180920_Smp_MS6C315m_C","Acetyl CoA",18628,0.0231251617724739,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00185001294179791,"C23H38N7O17P3S",23,7,0.0425502976613519,0.0129500905925854
"180920_Smp_MS6C315m_B","Acetyl CoA",25018,0.027586754432345,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0022069403545876,"C23H38N7O17P3S",23,7,0.0507596281555148,0.0154485824821132
"180920_Smp_MS6C315m_A","Acetyl CoA",27563,0.0301773878160562,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0024141910252845,"C23H38N7O17P3S",23,7,0.0555263935815434,0.0168993371769915
"180920_Smp_MS5C1DCM_C","Acetyl CoA",16547,0.0148743061799565,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00118994449439652,"C23H38N7O17P3S",23,7,0.0273687233711199,0.00832961146077561
"180920_Smp_MS5C1DCM_B","Acetyl CoA",10098,0.0149754968660162,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00119803974928129,"C23H38N7O17P3S",23,7,0.0275549142334697,0.00838627824496905
"180920_Smp_MS5C1DCM_A","Acetyl CoA",14203,0.0160662422831869,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00128529938265495,"C23H38N7O17P3S",23,7,0.0295618858010639,0.00899709567858466
"180920_Smp_MS5C1175m_C","Acetyl CoA",3633,0.00528502666698186,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000422802133358549,"C23H38N7O17P3S",23,7,0.00972444906724662,0.00295961493350984
"180920_Smp_MS5C1175m_B","Acetyl CoA",5395,0.00592572089634904,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000474057671707923,"C23H38N7O17P3S",23,7,0.0109033264492822,0.00331840370195546
"180920_Smp_MS5C1175m_A","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS5C115m_C","Acetyl CoA",22571,0.0278861573663389,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00223089258930711,"C23H38N7O17P3S",23,7,0.0513105295540636,0.0156162481251498
"180920_Smp_MS5C115m_B","Acetyl CoA",3897,0.0124327833706338,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000994622669650705,"C23H38N7O17P3S",23,7,0.0228763214019662,0.00696235868755493
"180920_Smp_MS5C115m_A","Acetyl CoA",14230,0.0172810255432502,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00138248204346002,"C23H38N7O17P3S",23,7,0.0317970869995804,0.00967737430422013
"180920_Smp_MS4C1DCM_C","Acetyl CoA",14011,0.0171186410650676,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00136949128520541,"C23H38N7O17P3S",23,7,0.0314982995597243,0.00958643899643784
"180920_Smp_MS4C1DCM_B","Acetyl CoA",4378,0.0119093361660398,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000952746893283181,"C23H38N7O17P3S",23,7,0.0219131785455132,0.00666922825298226
"180920_Smp_MS4C1DCM_A","Acetyl CoA",16680,0.021424112658979,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00171392901271832,"C23H38N7O17P3S",23,7,0.0394203672925213,0.0119975030890282
"180920_Smp_MS4C1175m_C","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS4C1175m_B","Acetyl CoA",1520,0.00213496264693231,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000170797011754585,"C23H38N7O17P3S",23,7,0.00392833127035545,0.00119557908228209
"180920_Smp_MS4C1175m_A","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS4C115m_C","Acetyl CoA",9528,0.0157335728817142,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00125868583053713,"C23H38N7O17P3S",23,7,0.0289497741023541,0.00881080081375994
"180920_Smp_MS4C115m_B","Acetyl CoA",18438,0.0248516857915561,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00198813486332449,"C23H38N7O17P3S",23,7,0.0457271018564632,0.0139169440432714
"180920_Smp_MS4C115m_A","Acetyl CoA",7965,0.0124310071300761,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000994480570406087,"C23H38N7O17P3S",23,7,0.02287305311934,0.00696136399284261
"180920_Smp_MS14C2DCM_C","Acetyl CoA",25005,0.0228825884366745,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00183060707493396,"C23H38N7O17P3S",23,7,0.042103962723481,0.0128142495245377
"180920_Smp_MS14C2DCM_B","Acetyl CoA",17957,0.0176773096073918,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00141418476859135,"C23H38N7O17P3S",23,7,0.032526249677601,0.00989929338013943
"180920_Smp_MS14C2DCM_A","Acetyl CoA",2684,0.00738366227172785,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000590692981738228,"C23H38N7O17P3S",23,7,0.0135859385799792,0.0041348508721676
"180920_Smp_MS14C2175m_C","Acetyl CoA",1991,0.00360979903608757,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000288783922887005,"C23H38N7O17P3S",23,7,0.00664203022640112,0.00202148746020904
"180920_Smp_MS14C2175m_B","Acetyl CoA",8926,0.0105820670359602,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000846565362876814,"C23H38N7O17P3S",23,7,0.0194710033461667,0.0059259575401377
"180920_Smp_MS14C2175m_A","Acetyl CoA",8919,0.0100028598825766,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000800228790606127,"C23H38N7O17P3S",23,7,0.0184052621839409,0.00560160153424289
"180920_Smp_MS14C215m_C","Acetyl CoA",27367,0.0285177778912454,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00228142223129963,"C23H38N7O17P3S",23,7,0.0524727113198916,0.0159699556190974
"180920_Smp_MS14C215m_B","Acetyl CoA",27005,0.0316317342254954,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00253053873803963,"C23H38N7O17P3S",23,7,0.0582023909749116,0.0177137711662774
"180920_Smp_MS14C215m_A","Acetyl CoA",25594,0.031751584849951,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00254012678799608,"C23H38N7O17P3S",23,7,0.0584229161239098,0.0177808875159726
"180920_Smp_MS13C315m_C","Acetyl CoA",24431,0.0270509748277343,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00216407798621874,"C23H38N7O17P3S",23,7,0.049773793683031,0.0151485459035312
"180920_Smp_MS13C315m_B","Acetyl CoA",9776,0.0205714490130134,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00164571592104107,"C23H38N7O17P3S",23,7,0.0378514661839447,0.0115200114472875
"180920_Smp_MS13C315m_A","Acetyl CoA",18434,0.0227349949834766,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00181879959867813,"C23H38N7O17P3S",23,7,0.041832390769597,0.0127315971907469
"180920_Smp_MS13C2DCM_C","Acetyl CoA",14458,0.0161438677895614,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00129150942316491,"C23H38N7O17P3S",23,7,0.0297047167327929,0.00904056596215437
"180920_Smp_MS13C2DCM_B","Acetyl CoA",14813,0.0156874041412819,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00125499233130256,"C23H38N7O17P3S",23,7,0.0288648236199588,0.00878494631911789
"180920_Smp_MS13C2DCM_A","Acetyl CoA",18398,0.0206925968967291,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00165540775173833,"C23H38N7O17P3S",23,7,0.0380743782899815,0.0115878542621683
"180920_Smp_MS13C2175m_C","Acetyl CoA",1226,0.00153394046596882,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000122715237277506,"C23H38N7O17P3S",23,7,0.00282245045738264,0.000859006660942541
"180920_Smp_MS13C2175m_B","Acetyl CoA",3265,0.0037561677655231,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000300493421241848,"C23H38N7O17P3S",23,7,0.0069113486885625,0.00210345394869293
"180920_Smp_MS13C2175m_A","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS12C1DCM_C","Acetyl CoA",21110,0.0264425666450383,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00211540533160306,"C23H38N7O17P3S",23,7,0.0486543226268705,0.0148078373212214
"180920_Smp_MS12C1DCM_B","Acetyl CoA",25816,0.0283824785250038,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00227059828200031,"C23H38N7O17P3S",23,7,0.0522237604860071,0.0158941879740022
"180920_Smp_MS12C1DCM_A","Acetyl CoA",2298,0.0155640969200291,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00124512775360233,"C23H38N7O17P3S",23,7,0.0286379383328536,0.00871589427521631
"180920_Smp_MS12C1175m_C","Acetyl CoA",1097,0.00115553111770512,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000924424894164094,"C23H38N7O17P3S",23,7,0.00212617725657742,0.000647097425914866
"180920_Smp_MS12C1175m_B","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS12C1175m_A","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS12C115m_C","Acetyl CoA",30872,0.0341593318393974,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00273274654715179,"C23H38N7O17P3S",23,7,0.0628531705844912,0.0191292258300625
"180920_Smp_MS12C115m_B","Acetyl CoA",33807,0.0330029491498619,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00264023593198895,"C23H38N7O17P3S",23,7,0.0607254264357459,0.0184816515239227
"180920_Smp_MS12C115m_A","Acetyl CoA",19190,0.026625929965063,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00213007439720504,"C23H38N7O17P3S",23,7,0.0489917111357159,0.0149105207804353
"180920_Smp_MS11C2DCM_C","Acetyl CoA",22059,0.0301362545604327,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00241090036483462,"C23H38N7O17P3S",23,7,0.0554507083911962,0.0168763025538423
"180920_Smp_MS11C2DCM_B","Acetyl CoA",8327,0.0186202624770517,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00148962099816414,"C23H38N7O17P3S",23,7,0.0342612829577751,0.010427346987149
"180920_Smp_MS11C2DCM_A","Acetyl CoA",11357,0.014711683009023,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00117693464072184,"C23H38N7O17P3S",23,7,0.0270694967366023,0.00823854248505288
"180920_Smp_MS11C2175m_C","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS11C2175m_B","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS11C2175m_A","Acetyl CoA",1622,0.00216360422849902,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000173088338279921,"C23H38N7O17P3S",23,7,0.00398103178043819,0.00121161836795945
"180920_Smp_MS11C215m_C","Acetyl CoA",16985,0.0203849802841175,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016307984227294,"C23H38N7O17P3S",23,7,0.0375083637227763,0.0114155889591058
"180920_Smp_MS11C215m_B","Acetyl CoA",5277,0.0233484727479475,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018678778198358,"C23H38N7O17P3S",23,7,0.0429611898562235,0.0130751447388506
"180920_Smp_MS11C215m_A","Acetyl CoA",32058,0.0333392351412885,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00266713881130308,"C23H38N7O17P3S",23,7,0.0613441926599708,0.0186699716791216
"180920_Smp_MS10C2DCM_C","Acetyl CoA",22463,0.0274072718399219,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00219258174719375,"C23H38N7O17P3S",23,7,0.0504293801854563,0.0153480722303563
"180920_Smp_MS10C2DCM_B","Acetyl CoA",14878,0.017750670959375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00142005367675,"C23H38N7O17P3S",23,7,0.0326612345652499,0.00994037573724998
"180920_Smp_MS10C2DCM_A","Acetyl CoA",12906,0.0148064908324177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00118451926659341,"C23H38N7O17P3S",23,7,0.0272439431316485,0.0082916348661539
"180920_Smp_MS10C2175m_C","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS10C2175m_B","Acetyl CoA",1388,0.00194262673085173,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000155410138468138,"C23H38N7O17P3S",23,7,0.00357443318476718,0.00108787096927697
"180920_Smp_MS10C2175m_A","Acetyl CoA",2911,0.00375739442573563,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000300591554058851,"C23H38N7O17P3S",23,7,0.00691360574335357,0.00210414087841196
"180920_Smp_MS10C215m_C","Acetyl CoA",23250,0.0253043528656635,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00202434822925308,"C23H38N7O17P3S",23,7,0.0465600092728209,0.0141704376047716
"180920_Smp_MS10C215m_B","Acetyl CoA",24598,0.0297496142667046,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00237996914133637,"C23H38N7O17P3S",23,7,0.0547392902507365,0.0166597839893546
"180920_Smp_MS10C215m_A","Acetyl CoA",8793,0.0219214624280519,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00175371699424415,"C23H38N7O17P3S",23,7,0.0403354908676155,0.0122760189597091
"180920_Poo_MesoScopeQC_5","Acetyl CoA",12572,0.0255448368067532,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00204358694454025,"C23H38N7O17P3S",23,7,0.0470024997244258,0.0143051086117818
"180920_Poo_MesoScopeQC_4","Acetyl CoA",10213,0.0206379517646227,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00165103614116981,"C23H38N7O17P3S",23,7,0.0379738312469057,0.0115572529881887
"180920_Poo_MesoScopeQC_3","Acetyl CoA",13800,0.0267769436932294,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00214215549545835,"C23H38N7O17P3S",23,7,0.049269576395542,0.0149950884682084
"180920_Poo_MesoScopeQC_2","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Poo_MesoScopeQC_1","Acetyl CoA",10853,0.0176537854055751,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00141230283244601,"C23H38N7O17P3S",23,7,0.0324829651462582,0.00988611982712206
"180920_Poo_Day1Poo_DDAneg50","Acetyl CoA",2314,0.00457885288258478,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000366308230606782,"C23H38N7O17P3S",23,7,0.00842508930395599,0.00256415761424747
"180920_Poo_Day1Poo_DDAneg35","Acetyl CoA",4083,0.00795393613182144,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000636314890545715,"C23H38N7O17P3S",23,7,0.0146352424825515,0.00445420423382001
"180920_Poo_Day1Poo_DDAneg20","Acetyl CoA",2755,0.00507594806687907,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000406075845350326,"C23H38N7O17P3S",23,7,0.00933974444305749,0.00284253091745228
"180920_Poo_Day1and2Poo_Half5","Acetyl CoA",3201,0.0116389736541414,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000931117892331313,"C23H38N7O17P3S",23,7,0.0214157115236202,0.00651782524631919
"180920_Poo_Day1and2Poo_Half4","Acetyl CoA",4478,0.0155571189105153,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00124456951284122,"C23H38N7O17P3S",23,7,0.0286250987953481,0.00871198658988857
"180920_Poo_Day1and2Poo_Half3","Acetyl CoA",3401,0.0110038283681025,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000880306269448199,"C23H38N7O17P3S",23,7,0.0202470441973086,0.00616214388613739
"180920_Poo_Day1and2Poo_Half2","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Poo_Day1and2Poo_Half1","Acetyl CoA",2481,0.00640518817660609,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000512415054128487,"C23H38N7O17P3S",23,7,0.0117855462449552,0.00358690537889941
"180920_Poo_Day1and2Poo_Full5","Acetyl CoA",5945,0.0154678839765601,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00123743071812481,"C23H38N7O17P3S",23,7,0.0284609065168706,0.00866201502687366
"180920_Poo_Day1and2Poo_Full4","Acetyl CoA",4837,0.0119763221895599,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000958105775164792,"C23H38N7O17P3S",23,7,0.0220364328287902,0.00670674042615354
"180920_Poo_Day1and2Poo_Full3","Acetyl CoA",5113,0.0123095368214768,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000984762945718145,"C23H38N7O17P3S",23,7,0.0226495477515173,0.00689334062002701
"180920_Poo_Day1and2Poo_Full2","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Poo_Day1and2Poo_Full1","Acetyl CoA",3712,0.00771761271701238,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00061740901736099,"C23H38N7O17P3S",23,7,0.0142004073993028,0.00432186312152693
"180920_Blk_SWBlk_3","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Blk_SWBlk_2","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Blk_SWBlk_1","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
